cagr,annualized_volatility,sharpe,sortino,maximum_drawdown,calmar,monthly_var_95,monthly_es_95,observations,ending_wealth_multiple,bankrupt_flag,strategy,formation_period,frequency,holdings_n,maintenance,return_type,average_long_exposure,average_short_exposure,total_borrow_cost_inr,total_tax_inr,time_below_prior_peak,average_drawdown,longest_underwater_trading_days,longest_underwater_years
0.1377531107425522,0.133286322330831,0.5252312083467554,0.7379248600033813,-0.5447366538136262,0.2528801940867421,0.0581491640733946,0.0848782901332599,4771,12.103326450610153,False,km_momentum,6M,1M,12,winner_drift,raw,0.5628842554055139,0.0,0.0,,0.913225738838818,-0.1340798343798813,1579,6.265873015873016
0.1299678178424037,0.1344523192805982,0.4696404205895766,0.6570124867966909,-0.5582643498606292,0.2328069450876636,0.0597815202515561,0.0867350600400791,4771,10.599620569408716,False,km_momentum,6M,1M,12,winner_drift,gross,0.5763501021914542,0.0,0.0,,0.9211905260951584,-0.1500224805137736,1597,6.337301587301587
0.1452961854396361,0.1175830210072523,0.6360706619580299,0.8897363834586085,-0.5113730978116362,0.2841295055633839,0.0593215135118619,0.0840671730179551,4771,13.751556428552528,False,km_momentum,6M,1M,24,winner_drift,raw,0.519841610754174,0.0,0.0,,0.8717250052399916,-0.086969602797536,741,2.9404761904761907
0.1382040362895904,0.1188262327084914,0.5772025388414445,0.8027785735440451,-0.5239885212390927,0.2637539386602875,0.0604436822690408,0.0856134906308762,4771,12.196344865952629,False,km_momentum,6M,1M,24,winner_drift,gross,0.5366804191318784,0.0,0.0,,0.882414588136659,-0.0954273964209177,753,2.988095238095238
0.1652836004846014,0.1120699442701259,0.8196644946433799,1.1458959133106132,-0.4459784431532457,0.3706089453920247,0.0505397949636624,0.0709307229769356,4771,19.20996059273284,False,km_momentum,6M,1M,50,winner_drift,raw,0.5234925630735393,0.0,0.0,,0.8472018444770488,-0.0741185600803268,755,2.996031746031746
0.1573185801716961,0.1130122404867051,0.7516876880143825,1.044755637045531,-0.4574602427496764,0.3438956339158445,0.0523716803515364,0.0724249029965169,4771,16.82576426250723,False,km_momentum,6M,1M,50,winner_drift,gross,0.5355986494604457,0.0,0.0,,0.8593586250262,-0.0809306099024302,769,3.0515873015873014
0.2165215915504608,0.1630163316584604,0.8769155612584939,1.2692294109202178,-0.3098464242125799,0.6988029379416344,0.0633404847475325,0.0917966993571776,4729,42.718742012269615,False,km_momentum,6M,3M,12,winner_drift,raw,0.5721055790786275,0.0,0.0,,0.9223937407485726,-0.0850259772078006,706,2.8015873015873014
0.2074612963012461,0.162976868885771,0.8301789826299154,1.197487730116295,-0.3192314173081081,0.6498774401675308,0.0647749134218886,0.0932457023908913,4729,37.018952620288424,False,km_momentum,6M,3M,12,winner_drift,gross,0.5745846707497393,0.0,0.0,,0.9247198139141468,-0.0886144107775206,708,2.8095238095238093
0.2258228163013786,0.1441058805229126,1.0259448529964257,1.4506316755603228,-0.2652154975233161,0.8514691577611363,0.0500057827900857,0.0803512996145379,4729,49.42954843718823,False,km_momentum,6M,3M,24,winner_drift,raw,0.5660285219829906,0.0,0.0,,0.9025163882427576,-0.0781630871353092,725,2.876984126984127
0.2168118698726682,0.1441014140953535,0.973591652112206,1.3719929471786778,-0.2752897847422983,0.7875768803976074,0.0511770502393196,0.0815813820367958,4729,42.91443529997569,False,km_momentum,6M,3M,24,winner_drift,gross,0.5680053242056463,0.0,0.0,,0.9063226897864242,-0.0826275172295165,733,2.9087301587301586
0.2103198524526555,0.125535446775602,1.0540824854549118,1.46407995806471,-0.2422723515748613,0.868113307546228,0.0513605022010016,0.0730518133690741,4729,38.73440726027817,False,km_momentum,6M,3M,50,winner_drift,raw,0.5564079156274359,0.0,0.0,,0.8868682596743498,-0.0777155227233346,713,2.8293650793650795
0.2017425264055385,0.1255386825081745,0.996096712635251,1.3785395707183163,-0.2525870319587926,0.7987050041367568,0.0527587968268348,0.0743154368139731,4729,33.800799178379265,False,km_momentum,6M,3M,50,winner_drift,gross,0.5588421527042752,0.0,0.0,,0.8900401776274054,-0.081884638266087,730,2.8968253968253967
0.0619032649820485,0.123747634822745,-0.0126123161932098,-0.0164337189952121,-0.2950411948963974,0.2098122772441511,0.068288208341357,0.0932965495522779,4729,3.1601141687809955,False,km_momentum,6M,6M,12,winner_drift,raw,0.395399715444768,0.0,0.0,,0.9640515965320364,-0.1023438562446474,595,2.361111111111111
0.0573821546257058,0.1235217244987124,-0.0481389239637063,-0.0625922610109297,-0.2977078093428059,0.1927465549270532,0.0691572620352851,0.0940368301061256,4729,2.9120962310400107,False,km_momentum,6M,6M,12,winner_drift,gross,0.3971231892315595,0.0,0.0,,0.9657432861069992,-0.1052730854754222,608,2.412698412698413
0.0926963734791486,0.1072651579344188,0.2394199417406501,0.3124371914632112,-0.2443312201932976,0.3793881658095668,0.0449411642412127,0.0742738526491337,4729,5.46418028194979,False,km_momentum,6M,6M,24,winner_drift,raw,0.3780229454029756,0.0,0.0,,0.9386762529075916,-0.0712843558958741,530,2.1031746031746033
0.0877407961314027,0.1071552147014087,0.1962252161831755,0.2553529851902294,-0.2511334018596245,0.3493792362214207,0.0463716383897149,0.0756073508732931,4729,5.008503626039809,False,km_momentum,6M,6M,24,winner_drift,gross,0.3790981716876455,0.0,0.0,,0.9414252484669065,-0.0742098412462374,758,3.007936507936508
0.1017352406693981,0.0951451372589906,0.3453315862812915,0.4498023499081325,-0.2238360833218857,0.4545077771178586,0.0421285413702358,0.0654964538239979,4729,6.398274264557055,False,km_momentum,6M,6M,50,winner_drift,raw,0.3684764740641533,0.0,0.0,,0.9177415944174244,-0.0662856503085544,630,2.5
0.096631997263832,0.0950479594954645,0.2956763211254678,0.3839581868200444,-0.2305821585365783,0.4190783791648081,0.0431318367165898,0.0669547652598229,4729,5.853782499748783,False,km_momentum,6M,6M,50,winner_drift,gross,0.3693885580918895,0.0,0.0,,0.921970818354832,-0.0690495188010401,765,3.0357142857142856
