cagr,annualized_volatility,sharpe,sortino,maximum_drawdown,calmar,monthly_var_95,monthly_es_95,observations,ending_wealth_multiple,bankrupt_flag,strategy,formation_period,frequency,holdings_n,maintenance,return_type,average_long_exposure,average_short_exposure,total_borrow_cost_inr,total_tax_inr,time_below_prior_peak,average_drawdown,longest_underwater_trading_days,longest_underwater_years
0.2512279755162969,0.2412524684481317,0.7784028370412279,1.0792349759295574,-0.7590587132884286,0.3309730474312267,0.1262822718435841,0.2062389050896414,4771,75.96940736961068,False,jt_academic,6M,1M,12,winner_drift,academic_raw,0.7231916526810757,0.9077119858480353,0.0,,0.9138545378327396,-0.2389237697422773,1581,6.273809523809524
0.2187399655406867,0.2430891555536527,0.6638445873142512,0.9165995501773616,-0.7669385100881602,0.2852118685701966,0.1321466039628673,0.2095593830025481,4771,45.69709281055432,False,jt_academic,6M,1M,12,winner_drift,academic_borrow_3pct,0.7357285133464193,0.9429203506709036,153881020.7909482,,0.9182561307901907,-0.2698228743105071,1581,6.273809523809524
0.1848388045693554,0.2454935923192647,0.5424062635094536,0.7464729699366179,-0.7745965751821557,0.2386258995863599,0.1389349571457686,0.2130951955727229,4771,26.495474399695816,False,jt_academic,6M,1M,12,winner_drift,academic_borrow_6pct,0.7515711603664311,0.9886421631580168,227451415.22548705,,0.9230769230769232,-0.2990177495881846,1581,6.273809523809524
0.1084281886156919,0.2559041864198811,0.2640146899391772,0.3660996579737327,-0.8414835050666445,0.1288536114645581,0.1548960944113454,0.221184904041644,4771,7.30794691844956,False,jt_academic,6M,1M,12,winner_drift,academic_borrow_12pct,0.8041243549358238,1.1487364305177954,248074458.12461057,,0.9346049046321526,-0.3549780396954027,1581,6.273809523809524
0.3032178453291103,0.1720002546516345,1.248374399736523,1.770699306354494,-0.5123487017447053,0.5918192908395398,0.0935595945011604,0.1362992802636487,4771,166.81892012453025,False,jt_academic,6M,1M,24,winner_drift,academic_raw,0.6603849562187762,0.7965975352876664,0.0,,0.8669042129532593,-0.1017396959334886,893,3.5436507936507935
0.2732264714749455,0.1727108098633455,1.1061101206970132,1.5592566006541195,-0.528045563730094,0.5174297262245401,0.0954058722488474,0.1389803968480714,4771,106.38578672061546,False,jt_academic,6M,1M,24,winner_drift,academic_borrow_3pct,0.6671534986555375,0.8138609277454395,195299517.0580159,,0.8817857891427374,-0.1172350443115871,927,3.678571428571429
0.2427011980584943,0.1735144259757001,0.9588279658945822,1.3432276715226723,-0.5433577569645563,0.4466692431416341,0.0972761240635535,0.1417683846612862,4771,66.56724249280384,False,jt_academic,6M,1M,24,winner_drift,academic_borrow_6pct,0.6750003143139748,0.8341322608478322,286892440.7596339,,0.8975057639907776,-0.1385483594058121,1580,6.26984126984127
0.1788586420176157,0.1755815197510802,0.6426778200636339,0.889163514410787,-0.572863857009315,0.3122184090149492,0.1011067360715622,0.1478071186594642,4771,24.027746714303987,False,jt_academic,6M,1M,24,winner_drift,academic_borrow_12pct,0.6956841420283973,0.8885439109736251,307546332.6154729,,0.9111297421924124,-0.2083112871697706,1580,6.26984126984127
0.2340167424893902,0.1443067768453283,1.0747745716468322,1.3831554483764228,-0.4764840209882006,0.4911324035673911,0.0707759357860998,0.1330978837066731,4771,58.131995814821586,False,jt_academic,6M,1M,50,winner_drift,academic_raw,0.6310013062934756,0.7265289773754964,0.0,,0.8585202263676378,-0.1108998665123577,1564,6.2063492063492065
0.2078667007673356,0.1451003219235734,0.9189538816488924,1.1753894378665055,-0.4909977666541678,0.4233556950448323,0.0726039765823368,0.1354154237062322,4771,38.43176502295939,False,jt_academic,6M,1M,50,winner_drift,academic_borrow_3pct,0.6375028788918332,0.7392362221583404,72892835.757047,,0.8687906099350241,-0.1356871208413345,1580,6.26984126984127
