cagr,annualized_volatility,sharpe,sortino,maximum_drawdown,calmar,monthly_var_95,monthly_es_95,observations,ending_wealth_multiple,bankrupt_flag,strategy,formation_period,frequency,holdings_n,maintenance,return_type,average_long_exposure,average_short_exposure,total_borrow_cost_inr,total_tax_inr,time_below_prior_peak,average_drawdown,longest_underwater_trading_days,longest_underwater_years
0.1184985200074391,0.2322029583373533,0.3048822451731694,0.4110690995602128,-0.8102416771327324,0.1462508327475567,0.1070483885992216,0.1776384933668825,4771,8.70333022638091,False,jensen_alpha,6M,1M,12,equal_weight,raw,0.9872983676635236,0.0,0.0,,0.9626912596939844,-0.2952845995545961,1654,6.563492063492063
0.1062734951062549,0.2303279637596424,0.2567612867002359,0.3451578958361674,-0.8134612135314045,0.1306435922677856,0.1066828570139777,0.177563226483048,4771,7.038304881838044,False,jensen_alpha,6M,1M,12,equal_weight,gross,0.987492463242408,0.0,0.0,,0.9660448543282332,-0.3089228565213901,1673,6.638888888888889
0.1403313679724671,0.2137543612716765,0.4042550585686708,0.5382450804599745,-0.7870357902397094,0.1783036676511573,0.109396634348214,0.1736465654409984,4771,12.644395271434163,False,jensen_alpha,6M,1M,24,equal_weight,raw,0.988418860968442,0.0,0.0,,0.9440368895409768,-0.2682509250038539,1593,6.321428571428571
0.1275304599387816,0.2121353626158124,0.3513550387027461,0.4664345379537777,-0.790541038991652,0.1613204800872183,0.1092167805252002,0.1735469440338313,4771,10.16649461414805,False,jensen_alpha,6M,1M,24,equal_weight,gross,0.9885535612875206,0.0,0.0,,0.9505344791448334,-0.2826161528535864,1633,6.48015873015873
0.1652934704860846,0.2075033822399834,0.5166933455316413,0.6798757096062681,-0.7757910925507656,0.2130644087992906,0.1044401751147068,0.1703109106485757,4771,19.213104542854648,False,jensen_alpha,6M,1M,50,equal_weight,raw,0.990290286799396,0.0,0.0,,0.9230769230769232,-0.2378154054228455,1579,6.265873015873016
0.1523679112646541,0.2062642816178393,0.4633116468239044,0.6079769478527535,-0.7797339756042896,0.1954101219541829,0.104266510069823,0.1704509138909548,4771,15.48829224940663,False,jensen_alpha,6M,1M,50,equal_weight,gross,0.9903151770635472,0.0,0.0,,0.9278977153636554,-0.2493189455223393,1593,6.321428571428571
0.0746044187100263,0.2492869428333572,0.1367152256544648,0.1849298470503252,-0.8571398129509746,0.0870387976182987,0.123010409872815,0.1990239637279018,4729,3.968458003856592,False,jensen_alpha,6M,3M,12,equal_weight,raw,0.980278606810478,0.0,0.0,,0.9708183548318884,-0.3189765055439406,2092,8.301587301587302
0.0678244675986428,0.2480730096500731,0.110122944472836,0.1487020020804406,-0.8583616785527789,0.0790161878067491,0.1231055309589817,0.1989884984193916,4729,3.5153179688981178,False,jensen_alpha,6M,3M,12,equal_weight,gross,0.9804434152901692,0.0,0.0,,0.972932966800592,-0.3289421568410566,2377,9.432539682539682
0.1210432114502029,0.216981316361093,0.321413785401263,0.4298743262491178,-0.7879790688704655,0.153612216659147,0.1203029776051624,0.1732459449638717,4729,8.924884698335951,False,jensen_alpha,6M,3M,24,equal_weight,raw,0.9808418663145886,0.0,0.0,,0.9488263903573694,-0.2440744437958756,1648,6.5396825396825395
0.1139299520444461,0.2158198738481757,0.291846014689922,0.3896737418535216,-0.7895964833848699,0.1442888290941307,0.120001432363039,0.1730040224493212,4729,7.9003139149172386,False,jensen_alpha,6M,3M,24,equal_weight,gross,0.9809525286764124,0.0,0.0,,0.9507295411292028,-0.2506820225030691,1678,6.658730158730159
0.1443961929613404,0.2146757227161323,0.420777135909332,0.5544624610836886,-0.7887455246957878,0.1830706969995585,0.1122783418210209,0.1738223265925114,4729,13.24747362280704,False,jensen_alpha,6M,3M,50,equal_weight,raw,0.9826252442063944,0.0,0.0,,0.9327553393952208,-0.2491751822606888,1643,6.51984126984127
0.136922298285,0.2138194660821469,0.3902930927882977,0.5134763008181784,-0.7905431928152891,0.1732002748608727,0.1122948637608397,0.1737413249450171,4729,11.684772314414104,False,jensen_alpha,6M,3M,50,equal_weight,gross,0.9826946472326584,0.0,0.0,,0.9348699513639248,-0.2556663664580474,1647,6.535714285714286
0.0222404207440087,0.205236687912508,-0.1314934130796413,-0.1748029846337384,-0.8400148343934156,0.0264762237920105,0.1104549762569568,0.1871510103329111,4729,1.5240713703100772,False,jensen_alpha,6M,6M,12,equal_weight,raw,0.9718113738167264,0.0,0.0,,0.9896384013533516,-0.5326133594343831,4597,18.24206349206349
0.0187966435881805,0.2039973166758131,-0.1504329326812784,-0.1998274267177474,-0.8405000450024063,0.0223636437617641,0.1106048599593206,0.1867549673883695,4729,1.428664509581158,False,jensen_alpha,6M,6M,12,equal_weight,gross,0.9721191143814376,0.0,0.0,,0.989849862550222,-0.5483337519811452,4597,18.24206349206349
0.0900942734423795,0.2157715800882827,0.1895209504499856,0.2508414222748736,-0.7898981123423845,0.114058094372718,0.1187829308724492,0.1814974058888526,4729,5.220225878988785,False,jensen_alpha,6M,6M,24,equal_weight,raw,0.9695115053349532,0.0,0.0,,0.9551702262634808,-0.282594425293007,1937,7.686507936507937
0.0856348851446162,0.215057910801387,0.1699623407501723,0.2247596089852486,-0.7907782796626133,0.1082919034917758,0.1193463764459109,0.1814381760518042,4729,4.825976042515293,False,jensen_alpha,6M,6M,24,equal_weight,gross,0.9695966953560152,0.0,0.0,,0.9562275322478324,-0.287421087422242,1939,7.694444444444445
0.1155688380964641,0.2056031668042533,0.3031840721801319,0.3989202385578815,-0.7934846396065909,0.1456472278452208,0.1153709785085593,0.1779606117488253,4729,8.12598071065064,False,jensen_alpha,6M,6M,50,equal_weight,raw,0.9796594904702784,0.0,0.0,,0.9316980334108692,-0.2587315637838306,1863,7.392857142857143
0.1107698860992416,0.2049206585489444,0.2820153238783774,0.3707247612346165,-0.7945144298240944,0.1394183440114059,0.1149781516568868,0.1777629689407323,4729,7.481851019564901,False,jensen_alpha,6M,6M,50,equal_weight,gross,0.9797233973008472,0.0,0.0,,0.9338126453795728,-0.2635908533913239,1940,7.698412698412699
0.0933514642723647,0.2315404619475324,0.2048367745303687,0.2741799892883332,-0.8180196284806619,0.1141188561034285,0.1080568861736422,0.1804899194275809,4771,5.608909391628194,False,jensen_alpha,6M,1M,12,equal_weight,post_tax,,,,7459280.995782059,0.9704464472856844,-0.3242904672887478,1675,6.646825396825397
0.1117406394427158,0.2140064428204768,0.282888744802374,0.3730734052440984,-0.7983393074579618,0.1399663506467139,0.1149884110603542,0.1787285532227456,4771,7.741655904450384,False,jensen_alpha,6M,1M,24,equal_weight,post_tax,,,,10806719.97438277,0.9595472647243763,-0.3022652676787734,1643,6.51984126984127
0.1338918067926022,0.2081948387064572,0.3816759137985261,0.497460471844276,-0.7879042680808914,0.1699341052165185,0.1082120547424532,0.1749433402276764,4771,11.333888236607462,False,jensen_alpha,6M,1M,50,equal_weight,post_tax,,,,15317803.082616936,0.936700901278558,-0.2645848205332814,1598,6.341269841269841
0.0564292488326223,0.2495213211382086,0.0671007393714762,0.0901756495488467,-0.871536686877177,0.0647468427689662,0.1231055309589816,0.2044450420379787,4729,2.862231208378986,False,jensen_alpha,6M,3M,12,equal_weight,post_tax,,,,3074758.9515982177,0.9788538803129626,-0.3577319007370777,2407,9.551587301587302
0.0972744667451097,0.2176867460281427,0.220561494765927,0.2925526483996056,-0.8018733706596111,0.1213090125004313,0.120001432363039,0.1767994014841699,4729,5.919830742275149,False,jensen_alpha,6M,3M,24,equal_weight,post_tax,,,,9136339.76499609,0.9591879890040178,-0.2742657238266545,1686,6.690476190476191
0.1185401531230101,0.2156234388748976,0.31162208730102,0.4075164640494809,-0.8030842489342651,0.1476061238659818,0.1130355027269739,0.1783193864911588,4729,8.550780207596441,False,jensen_alpha,6M,3M,50,equal_weight,post_tax,,,,12321681.80441632,0.9426940156481286,-0.2780725913033224,1680,6.666666666666667
0.0137118079201028,0.2052784025974989,-0.1730002043190138,-0.2287041204663391,-0.8550784534779466,0.0160357308318686,0.1106048599593204,0.1922872743183691,4729,1.2980835649313869,False,jensen_alpha,6M,6M,12,equal_weight,post_tax,,,,724803.8534029503,0.989849862550222,-0.5864405788941828,4597,18.24206349206349
0.0715652869278378,0.2168911192965813,0.1089894137920097,0.1432227382997387,-0.8051220747845581,0.0888874981436671,0.1202816966863122,0.1869341935511011,4729,3.7588869965138114,False,jensen_alpha,6M,6M,24,equal_weight,post_tax,,,,5475908.176761373,0.96045675618524,-0.312639643231245,1946,7.722222222222222
0.0958149137078021,0.2067926840030743,0.214415744323337,0.280029557550655,-0.808137275610703,0.1185626707237276,0.1184782713292355,0.1821792149483465,4729,5.770791931599044,False,jensen_alpha,6M,6M,50,equal_weight,post_tax,,,,7354158.595614023,0.9424825544512582,-0.2897353725966282,1966,7.801587301587301
