nse_symbol,ex_date,share_multiplier,source_records,parsed_unique_factors,subjects
BLUESTARCO,2006-09-20,5.0,1,1,Fv Split Rs.10/- To Rs.2/
BLUESTARCO,2023-06-20,2.0,1,1,Bonus 1:1
BOMDYEING,2012-10-30,5.0,1,1,Face Value Split From Rs.10/- To Rs.2/-
BORORENEW,2018-08-02,4.0,1,1, Bonus 3:1
BOSCHCHASY,2007-06-06,2.0,1,1,Bonus - 1:1
BPCL,2012-07-13,2.0,1,1,Annual General Meeting/ Dividend Rs 11/- Per Share/ Bonus 1:1
BPCL,2016-07-13,2.0,1,1, Bonus 1:1
BPCL,2017-07-13,1.5,1,1, Bonus 1:2
BPCL,2024-06-21,2.0,1,1,Bonus 1:1
BRIGADE,2019-08-28,1.5,1,1, Bonus 1:2
BRIGADE,2026-06-17,1.3333333333,1,1,Bonus 1:3
BRITANNIA,2010-09-08,5.0,1,1,Face Value Split From Rs.10/- To Rs.2/-
BRITANNIA,2018-11-29,2.0,1,1, Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share
BSE,2022-03-21,3.0,1,1,Bonus 2:1
BSE,2025-05-23,3.0,1,1,Bonus 2:1
BSHSL,2022-09-23,10.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
BSLIMITED,2013-09-30,2.0,1,1,Bonus 1:1
BSLIMITED,2014-01-21,10.0,1,1,Face Value Split From Rs 10/- To Re 1/-
BSOFT,2007-01-04,5.0,1,2,Bonus-1:1 Spl-Rs 5/ To 2/
BSOFT,2012-03-13,2.0,1,1,Bonus 1:1
BTML,2024-04-05,10.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
CAMS,2025-12-05,5.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
CANBK,2024-05-15,5.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
CANFINHOME,2017-10-12,5.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
CANTABIL,2023-11-02,5.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
CARBORUNIV,2005-06-23,2.0,1,1,Agm/ Div-100%/Bonus 1:1
CARBORUNIV,2011-10-05,2.0,1,1,Face Value Split From Rs.2/- To Re.1/-
CASTEXTECH,2011-11-21,2.0,1,1,Bonus 1:1
CASTROL,2010-04-09,2.0,1,1,Bonus 1:1
CASTROL,2012-09-04,2.0,1,1,Bonus 1:1
CASTROLIND,2017-12-21,2.0,1,1, Bonus 1:1
CCAVENUE,2017-08-31,10.0,1,1, Annual General Meeting/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
CCAVENUE,2021-03-18,2.0,1,1, Bonus 1:1
CCAVENUE,2022-03-14,2.0,1,1,Bonus 1:1
CCCL,2010-02-10,5.0,1,1,Fv Split Rs.10 To Rs.2
CCL,2013-08-19,10.0,1,2,Bonus 1:1 And Face Value Split From Rs.10/- To Rs.2/-
CDSL,2024-08-23,2.0,1,1,Bonus 1:1
CEMPRO,2015-08-21,10.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
CENTURYPLY,2008-04-24,10.0,1,1,Fv Split Rs.10/- To Re.1/
CERA,2010-09-02,2.0,1,1,Bonus 1:1
CESC,2021-09-17,10.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
CGCL,2024-03-05,4.0,2,2,Bonus 1:1 | Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share
CGPOWER,2006-08-10,5.0,1,1,Fv Split Rs.10/- To Rs.2/
CGPOWER,2006-12-14,1.4,1,1,Bonus 2:5
CGPOWER,2010-03-08,1.75,1,1,Bonus 3:4
CHOICEIN,2022-09-22,2.0,1,1,Bonus 1:1
CHOICEIN,2024-02-20,2.0,1,1,Bonus 1:1
CHOLAFIN,2019-06-14,5.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
CINEVISTA,2008-01-22,5.0,1,1,Fv Split Rs.10/- To Rs.2/
CIPLA,2006-04-24,2.5,1,1,Bonus 3:2
CLASSIC,2008-01-11,5.0,1,1,Fv Split Rs.10/- To Rs.2/
CLEDUCATE,2021-09-30,2.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
CLEDUCATE,2022-12-16,2.0,1,1,Bonus 1:1
CMAHENDRA,2015-06-18,2.0,1,1,Bonus 1:1
CMC,2011-06-08,2.0,1,1,Dividend Rs.20/- Per Share And Bonus 1:1
COASTCORP,2025-03-04,5.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
COCHINSHIP,2024-01-10,2.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
COFORGE,2007-08-30,1.5,1,1,Bonus 1:2
COFORGE,2025-06-04,5.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
COHANCE,2020-09-25,2.0,1,1, Bonus 1:1
COLPAL,2015-09-23,2.0,1,1, Bonus 1:1
COMPINFO,2017-02-16,5.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
CONCOR,2008-04-16,2.0,1,1,Bonus - 1:1
CONCOR,2013-09-06,1.5,1,1,Bonus 1:2
CONCOR,2017-04-05,1.25,1,1, Bonus 1:4
CONCOR,2018-06-26,2.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
CONCOR,2019-02-04,1.25,1,1, Bonus 1:4
CONCOR,2025-07-04,1.25,1,1,Bonus 1:4
CORALFINAC,2017-08-03,5.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
CORALHUB,2009-02-27,10.0,1,1,Fv Split Rs.10/- To Re.1/
CORALHUB,2009-08-06,1.5,1,1,Bonus 1:2
CORDELIA,2026-08-25,10.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
COREEDUTEC,2007-06-06,5.0,1,1,Agm/Div-5%/Spl-Rs10tors2 Purpose Revised
COROMANDEL,2010-12-23,2.0,1,1,Face Value Split From Rs.2/- To Re.1/-
CORPBANK,2015-01-22,5.0,1,1,Face Valus Split (Sub-Division) - From Rs 10/- Per To Rs 2/- Per Share
COSMOFIRST,2022-06-16,1.5,1,1,Bonus 1:2
COUNCODOS,2009-09-04,3.0,1,1,Bonus 2:1
COX&KINGS,2011-06-21,2.0,1,1,Face Value Split From Rs.10/- To Rs.5/-
CRISIL,2011-09-28,10.0,1,1,Face Value Split From Rs.10/- To Re.1/-
CUB,2008-01-23,10.0,1,1,Fv Split Rs.10/- To Re.1/
CUB,2017-07-13,1.1,1,1, Bonus 1:10
CUB,2018-07-10,1.1,1,1, Bonus 1:10
CUB,2026-06-12,1.3333333333,1,1,Bonus 1:3
CUMMINSIND,2011-09-20,1.4,1,1,Bonus 2:5
CUPID,2018-10-11,1.2,1,1, Bonus 1:5
CUPID,2024-04-04,20.0,2,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share | Bonus 1:1
CUPID,2026-03-09,5.0,1,1,Bonus 4:1
CYIENT,2006-07-28,3.0,1,2,Fv Spl-10 To 5 / Bon 1:2
CYIENT,2010-06-10,2.0,1,1,Bonus 1:1
DABUR,2007-01-25,1.5,1,1,Bonus - 1:2
DABUR,2010-09-08,2.0,1,1,Bonus 1:1
DAMODARIND,2018-10-25,2.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
DANGEE,2022-09-06,15.0,2,2,Bonus 1:2 | Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
DAVANGERE,2024-05-31,10.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
DBEIL,2026-06-19,10.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
DCHL,2007-03-13,5.0,1,1,Fv Split Rs.10/- To Rs.2/
DECCANCE,2017-09-11,2.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
DEEPAKNTR,2014-06-20,10.0,1,2,Bonus 1 : 1 / Face Value Split From Rs 10/- Each To Rs 2/- Each
DEEPINDS,2023-04-10,2.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
DELPHIFX,2026-02-13,15.0,2,2,Bonus 2:1 | Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
DELTACORP,2008-01-15,10.0,1,1,Fv Split Rs.10/- To Re.1/
DEVIT,2022-11-25,2.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
DEVIT,2025-08-21,2.5,1,1,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Rs 2/- Per Share
DFMFOODS,2018-11-01,5.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
DHANUS,2011-08-29,3.4,1,1,Bonus 12:5
DHARAN,2020-07-02,5.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
DHARAN,2021-08-12,10.0,2,2, Bonus 4:1 |  Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share
DHARAN,2025-04-04,2.0,1,1,Bonus 1:1
DHFL,2015-09-09,2.0,1,1, Bonus 1:1
DIACABS,2024-12-03,10.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
DIAPOWER,2013-08-26,1.3333333333,1,1,Bonus 1:3
DIL,2022-10-27,2.0,1,1,Bonus 1:1
DISHMAN,2016-05-02,2.0,1,1, Bonus 1:1
DIVISLAB,2007-08-03,5.0,1,1,Agm/Fv Split Rs10 To Rs2
DIVISLAB,2009-07-30,2.0,1,1,Bonus-1:1
DIVISLAB,2015-09-23,2.0,1,1, Bonus 1:1
DIXON,2021-03-18,5.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
DJML,2024-08-09,3.0,1,1,Bonus 2:1
DOLLAR,2017-08-31,5.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
DOLPHIN,2024-01-25,10.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
DOLPHINOFF,2007-01-11,1.6,1,1,Bonus 3:5
DOLPHINOFF,2009-06-29,1.4,1,1,Agm/ Div-Rs.3 / Bonus 2:5
DPSCLTD,2011-12-15,230.0,1,2,Bonus 22:1 And Face Value Split From Rs.10/- To Re.1/-
DPWIRES,2023-11-08,1.1428571429,1,1,Bonus 1:7
DRCSYSTEMS,2022-03-16,10.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
DRCSYSTEMS,2024-02-27,3.0,1,1,Bonus 2:1
DRREDDY,2006-08-28,2.0,1,1,Bonus 1:1
DRREDDY,2024-10-28,5.0,1,1,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share
DUCON,2022-04-18,1.1,1,1,Bonus 1:10
DVL,2021-08-05,1.5,1,1, Bonus 1:2
DWARKESH,2017-08-10,10.0,1,1, Annual General Meeting/Dividend - Rs 10 Per Share/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share (Purpose Revised)
DYCL,2025-07-11,2.0,1,1,Bonus 1:1
E2E,2026-06-05,10.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
EASEMYTRIP,2022-02-28,2.0,1,1,Bonus 1:1
EASEMYTRIP,2022-11-21,8.0,2,2,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share | Bonus 3:1
EASEMYTRIP,2024-11-29,2.0,1,1,Bonus 1:1
EASTSILK,2008-06-27,5.0,1,1,Fv Split Rs.10/- To Rs.2/
EASUNREYRL,2007-07-31,5.0,1,1,Fv Split Rs.10/- To Rs.2/
ECLERX,2010-07-23,1.5,1,1,Bonus 1:2
ECLERX,2015-12-17,1.3333333333,1,1, Bonus 1:3
ECLERX,2022-09-21,1.5,1,1,Bonus 1:2
ECLERX,2026-03-13,2.0,1,1,Bonus 1:1
EDELWEISS,2010-08-10,10.0,1,2,Face Value Split From Rs.5/- To Re.1/- And Bonus 1:1
EDUCOMP,2009-10-27,5.0,1,1,Fv Split Rs.10/- To Rs.2/
EICHERMOT,2020-08-24,10.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
EIDPARRY,2010-12-23,2.0,1,1,Face Value Split From Rs.2/- To Re.1/-
EIHAHOTELS,2024-08-13,2.0,1,1,Bonus 1:1
EIHOTEL,2006-09-12,7.5,1,2,Spl-Rs10 To Rs2/Bonus-1:2
EKC,2007-08-21,5.0,1,1,Fv Split Rs.10/- To Rs.2/
ELECON,2006-10-17,5.0,1,1,Fv Split Rs.10/- To Rs.2/
ELECON,2007-10-10,3.0,1,1,Bonus 2:1
ELECON,2024-07-19,2.0,1,1,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share
ELECTCAST,2007-09-17,10.0,1,1,Fv Split Rs.10/- To Re.1/
ELGIEQUIP,2010-12-14,2.0,1,1,Bonus 1:1
ELGIEQUIP,2020-09-24,2.0,1,1, Bonus 1:1
EMAMILTD,2010-07-21,2.0,1,1,Dividend Rs.6/- Per Share And Face Value Split From Rs.2/- To Re.1/-
EMAMILTD,2013-06-26,1.5,1,1,Bonus 1:2 And Dividend Rs.8/- Per Share
EMAMILTD,2018-06-21,2.0,1,1, Bonus 1:1/Dividend- Rs 7 Per Share
EMCO,2008-03-14,5.0,1,1,Fv Split Rs.10/- To Rs.2/
ENGINERSIN,2010-05-06,6.0,1,2,Fv Spl-Rs10tors5/Bon-2:1
ENGINERSIN,2016-12-30,2.0,1,1, Bonus 1:1
ENTEGRA,2011-09-26,1.3076923077,1,1,Bonus 4:13
EPL,2006-06-08,5.0,1,1,Fv Split Rs.10/- To Rs.2/
EPL,2018-06-20,2.0,1,1, Bonus 1:1
ESSENTIA,2022-02-03,3.0,1,1,Face Value Split (Sub-Division) - From Rs 3/- Per Share To Re 1/- Per Share
ESSENTIA,2024-01-11,2.0,1,1,Bonus 1:1
EVINIX,2008-04-29,10.0,1,1,Fv Split Rs.10/- To Re.1/
EXIDEIND,2006-09-08,10.0,1,1,Fv Split Rs.10/- To Re.1/
EXXARO,2024-12-13,10.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
FCL,2015-02-12,2.0,1,1,Bonus 1:1
FCL,2015-06-11,5.0,1,1,Face Valus Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
FCL,2025-10-31,10.0,2,2,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share | Bonus 4:1
FCSSOFT,2009-10-15,10.0,1,1,Fv Split Rs.10/- To Re.1/
FCSSOFT,2010-02-26,2.0,1,1,Bonus 1:1
FEDERALBNK,2013-10-17,5.0,1,1,Face Value Split From Rs.10/- To Rs.2/-
FEDERALBNK,2015-07-08,2.0,1,1,Bonus 1:1
FEL,2006-12-12,5.0,1,1,Fv Split Rs.10/- To Rs.2/
FIEMIND,2024-02-28,2.0,1,1,Bonus 1:1
FILATEX,2018-06-27,5.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
FILATEX,2022-12-27,2.0,1,1,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share
FILATFASH,2024-08-09,5.0,1,1,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share
FINCABLES,2007-01-08,5.0,1,1,Fv Split Rs.10/- To Rs.2/
FINPIPE,2021-04-15,5.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
FISCHER,2025-09-12,10.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
FOCUS,2023-10-06,5.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
GABRIEL,2012-07-12,2.0,1,1,Bonus 1:1
GAEL,2020-10-01,2.0,1,1, Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share
GAEL,2024-03-15,2.0,1,1,Bonus 1:1
GAIL,2008-10-06,1.5,1,1,Bonus 1:2
GAIL,2017-03-09,1.3333333333,1,1, Bonus 1:3
GAIL,2018-03-27,1.3333333333,1,1, Bonus 1:3
GAIL,2019-07-09,2.0,1,1, Bonus 1:1
GAIL,2022-09-06,1.5,1,1,Bonus 1:2
GALLISPAT,2018-08-07,10.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
GANDHITUBE,2008-03-17,2.0,1,1,Fv Split Rs.10/- To Rs.5/
GANESHHOU,2016-07-14,1.5,1,1, Bonus 1:2
GANGAFORGE,2021-09-13,10.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
GARFIBRES,2025-01-03,5.0,1,1,Bonus 4:1
GATECH,2017-01-10,1.25,1,1, Bonus 1:4
GAYAPROJ,2017-02-10,5.0,1,1, Face Value Split From Rs 10/- Per Share To Rs 2/- Per Share
GDL,2007-08-02,1.25,1,1,Bonus 1:4
GEEKAYWIRE,2023-10-23,5.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
GEEKAYWIRE,2025-10-30,2.0,1,1,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share
GEMINI,2007-07-17,2.0,1,1,Bonus 1:1
GEMINI,2008-09-17,5.0,1,1,Fv Split Rs.5/- To Re.1/-
GENESYS,2010-06-23,2.0,1,1,Face Value Split From Rs.10/- To Rs.5/-
GENSOL,2023-10-17,3.0,1,1,Bonus 2:1
GENUSPOWER,2010-10-22,10.0,1,1,Face Value Split From Rs.10/- To Re.1/-
GEODESIC,2007-08-17,1.5,1,1,Bonus 1:2
GEOJITFSL,2006-09-26,10.0,1,1,Fv Split Rs.10/- To Re.1/
GFLLIMITED,2008-02-01,2.0,1,1,Fv Split Rs.2/- To Re.1/-
GICRE,2018-07-12,2.0,1,1, Bonus 1:1/Dividend- Rs 13.5 Per Share
GILLANDERS,2010-09-14,1.5,1,1,Bonus 1:2
GLAXO,2018-09-11,2.0,1,1, Bonus 1:1
GLENMARK,2007-09-10,2.0,1,1,Agm/Fv Split Rs.2 To Re.1
GLOBAL,2022-10-19,2.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
GLOBAL,2024-12-10,2.5,1,1,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Rs 2/- Per Share
GLOBE,2021-08-03,15.0,2,2, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share |  Bonus 2:1
GLODYNE,2009-08-20,2.0,1,1,Div-Rs.4.20 Pr Sh/Bon 1:1
GLODYNE,2011-02-10,1.6666666667,1,1,Face Value Split From Rs.10/- To Rs.6/-
GMBREW,2014-05-16,1.25,1,1,Dividend Rs 2.50/- Per Share / Bonus 1 : 4
GMBREW,2016-05-30,1.25,1,1, Bonus 1:4
GMBREW,2018-05-21,1.25,1,1, Bonus 1:4
GMBREW,2024-05-24,1.25,1,1,Bonus 1:4
GMDCLTD,2007-11-08,5.0,1,1,Fv Split Rs.10/- To Rs.2/
GMDCLTD,2008-10-16,2.0,1,1,Bonus 1:1
GMMPFAUDLR,2022-07-11,3.0,1,1,Bonus 2:1
GMRAIRPORT,2007-09-28,5.0,1,1,Fv Split Rs.10/- To Rs.2/
GMRAIRPORT,2009-10-01,2.0,1,1,Fv Split Rs.2/- To Re.1/-
GNA,2023-09-01,2.0,1,1,Bonus 1:1
GODFRYPHLP,2014-11-28,5.0,1,1,Face Value Split From Rs 10/- Per Share To Rs 2/- Per Share
GODFRYPHLP,2025-09-16,3.0,1,1,Bonus 2:1
GODREJCP,2006-08-24,4.0,1,1,Fv Split Rs.4/- To Re.1/-
GODREJCP,2017-06-22,2.0,1,1, Bonus 1:1
GODREJCP,2018-09-12,1.5,1,1, Bonus 1:2
GODREJIND,2006-08-25,6.0,1,1,Fv Split Rs.6/- To Re.1/
GODREJIND,2015-01-05,1.0008,1,1,Bonus 1 : 1250
GODREJPROP,2013-11-21,2.0,1,1,Face Value Split From Rs.10/- To Rs.5/-
GOENKA,2012-10-25,10.0,1,1,Face Value Split From Rs.10/- To Re.1/-
GOKEX,2007-02-08,2.0,1,1,Fv Split Rs.10/- To Rs.5/
GOKUL,2009-10-14,5.0,1,1,Fv Split Rs.10/- To Rs.2/Rd Revised
GOKULAGRO,2025-10-14,2.0,1,1,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share
GOLDIAM,2022-03-28,5.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
GOLDIAM,2026-07-10,1.3333333333,1,1,Bonus 1:3
GOODLUCK,2026-08-21,3.0,1,1,Bonus 2:1
GOYALALUM,2023-04-25,10.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
GPIL,2021-10-26,4.0,2,2, Bonus 1:1 |  Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
GPIL,2024-10-04,5.0,1,1,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share
GPTINFRA,2017-07-13,2.0,1,1, Bonus 1:1
GPTINFRA,2022-11-11,2.0,1,1,Bonus 1:1
GPTINFRA,2024-07-03,2.0,1,1,Bonus 1:1
GRANULES,2015-03-23,10.0,1,1,Face Value Split Rs 10 To Rs 1
GRAPHITE,2006-12-11,5.0,1,1,Fv Split Rs.10/- To Rs.2/
GRASIM,2016-10-06,5.0,1,1, Face Value Split From Rs 10 To Re 2
GRAVITA,2012-05-25,5.0,1,1,Face Value Split From Rs.10/- To Rs.2/-
GREAVESCOT,2010-11-24,5.0,1,1,Interim Dividend Rs 2/- Per Share And Face Value Split From Rs 10/- To Rs 2/-
GREENLAM,2022-02-10,5.0,1,1,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share
GREENLAM,2025-03-21,2.0,1,1,Bonus 1:1
GREENPLY,2016-01-06,5.0,1,1, Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share
GRINDWELL,2016-07-14,2.0,1,1, Bonus 1:1
GRMOVER,2025-12-24,3.0,1,1,Bonus 2:1
GRPLTD,2024-08-12,4.0,1,1,Bonus 3:1
GRUH,2012-07-24,5.0,1,1,Face Value Split From Rs 10 To Rs 2
GRUH,2014-06-09,2.0,1,1,Bonus Issue 1 : 1
GRUH,2018-06-06,2.0,1,1, Bonus 1:1
GSFC,2012-09-20,5.0,1,1,Face Value Split From Rs 10 To Rs 2
GUJAPOLLO,2008-12-19,1.5,1,1,Bonus 1:2
GUJENERGY,2019-01-15,5.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
GUJNRECOKE,2006-09-28,2.0,1,1,Bonus 1:1
GUJNRECOKE,2008-10-17,1.4,1,1,Bonus 2:5
GUJRATGAS,2007-05-15,5.0,1,1,Fv Split Rs.10/- To Rs.2/
GUJRATGAS,2009-09-17,2.0,1,1,Bonus 1:1
GULFPETRO,2013-07-09,2.2105263158,1,1,Bonus 23:19
GULPOLY,2023-06-21,1.2,1,1,Bonus 1:5
GVKPIL,2008-02-08,10.0,1,1,Fv Split Rs.10/- To Re.1/
GVPTECH,2023-01-23,5.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
GVT&D,2008-10-22,5.0,1,1,Fv Split Rs.10/- To Rs.2/Rd Date Revised
HAL,2023-09-28,2.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
HARDWYN,2022-07-25,1.5,1,1,Bonus 1:2
HARDWYN,2023-06-05,13.333333332999999,2,2,Bonus 1:3 | Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
HARDWYN,2024-12-27,1.4,1,1,Bonus 2:5
HARDWYN,2026-07-28,1.4,1,1,Bonus 2:5
HATHWAY,2015-01-06,5.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
HATSUN,2016-07-13,1.4,1,1, Bonus 2:5
HATSUN,2020-12-09,1.3333333333,1,1, Bonus 1:3
HAVELLS,2006-07-20,2.0,1,1,Bonus 1:1
HAVELLS,2010-10-08,2.0,1,1,Bonus 1:1
HAVELLS,2014-08-26,5.0,1,1,Face Value Split From Rs 5/- Per Share To Re 1/- Per Share
HBLENGINE,2009-11-24,10.0,1,1,Fv Split Rs.10/- To Re.1/
HCC,2010-08-10,2.0,1,1,Bonus 1:1
HCLTECH,2007-03-15,2.0,1,1,Bonus 1:1
HCLTECH,2015-03-19,2.0,1,1,Bonus 1 : 1
HCLTECH,2019-12-05,2.0,1,1, Bonus 1:1
HDFC,2010-08-18,5.0,1,1,Face Value Split From Rs.10/- To Rs.2/-
HDFCAMC,2025-11-26,2.0,1,1,Bonus 1:1
HDFCBANK,2011-07-14,5.0,1,1,Face Value Split From Rs.10/- To Rs.2/-
HDFCBANK,2019-09-19,2.0,1,1, Face Value Split (Sub-Division) - From Rs 2 Per Share To Rs 1 Per Share
HDFCBANK,2025-08-26,2.0,1,1,Bonus 1:1
HDIL,2008-08-21,1.2857142857,1,1,Bonus - 2:7
HEG,2024-10-18,5.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
HERCULES,2008-09-17,10.0,1,1,Fv Split Rs.10/- To Re.1/
HERCULES,2012-07-11,2.0,1,1,Annual General Meeting/Dividend Rs.3.50 Per Share/Bonus 1:1 (Purpose Revised)
HERITGFOOD,2013-07-26,2.0,1,1,Bonus 1:1
HERITGFOOD,2017-10-10,2.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
HEXAWARE,2011-02-24,2.0,1,1,Dividend Rs 1.40 Per Share / Bonus 1:1
HGS,2022-02-22,2.0,1,1,Bonus 1:1
HIKAL,2015-02-27,5.0,1,1,Face Value Split (Sub-Division): From Rs 10/- Per Share To Rs 2/- Per Share
HIKAL,2018-06-22,1.5,1,1, Bonus 1:2
HINDCOMPOS,2017-05-25,3.0,1,2, Bonus 1:2/Face Value Split (Sub-Division) From Rs 10 Per Share To Rs 5 Per Share
HINDCON,2023-11-10,5.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
HINDDORROL,2006-05-26,5.0,1,1,Fv Split Rs.10/- To Rs.2/
HINDDORROL,2006-11-23,1.2,1,1,Bonus 1:5
HINDDORROL,2010-03-15,2.0,1,1,Bonus 1:1
HINDNATGLS,2009-11-12,5.0,1,1,Fv Split Rs.10/- To Rs.2/
HINDPETRO,2016-09-14,3.0,1,1, Bonus 2:1
HINDPETRO,2017-07-11,1.5,1,1, Bonus 1:2/ Dividend - Rs 1.10 Per Share
HINDPETRO,2024-06-21,1.5,1,1,Bonus 1:2
HINDZINC,2011-03-07,10.0,1,2,Bonus - 1:1 And Face Value Split From Rs. 10 To Rs. 2
HIRECT,2007-08-28,5.0,1,1,Fv Split Rs.10/- To Rs.2/
HIRECT,2008-10-06,2.0,1,1,Bonus - 1:1
HIRECT,2026-03-27,2.0,1,1,Bonus 1:1
