nse_symbol,ex_date,share_multiplier,source_records,parsed_unique_factors,subjects
ZEEL,2010-11-11,2.0,1,1,Bonus 1:1
ZENITHSTL,2010-08-11,1.2,1,1,Bonus 1:5
ZENSARTECH,2010-07-21,2.0,1,1,Dividend Rs.5.50 Per Share And Bonus 1:1
ZENSARTECH,2018-09-07,5.0,1,1, Face Value Split (Sub-Division) - From Rs 10 /- Per Share To Rs 2/- Per Share
ZFCVINDIA,2026-06-24,6.0,1,1,Bonus 5:1
ZIMLAB,2022-12-22,3.0,1,1,Bonus 2:1
ZODIACLOTH,2010-08-23,1.5,1,1,Bonus 1:2
ZODIACLOTH,2011-09-27,1.5,1,1,Bonus 1:2
ZYDUSLIFE,2006-08-30,2.0,1,1,Bonus 1:1
ZYDUSLIFE,2010-04-05,1.5,1,1,Bonus 1: 2
ZYDUSLIFE,2015-10-06,5.0,1,1, Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share
ZYDUSWELL,2025-09-18,5.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
ZYLOG,2012-06-29,2.0,1,1,Face Value Split From Rs 10 To Rs 5
