record_id,nse_symbol,isin,company_name,board,delisted_date,delisting_type,source
NSEDL0338,AVENTUS,INE587S01010,Aventus Buildcon Limited,ITP,2020-08-04,Exit from ITP platform,NSE official delisted companies register
NSEDL0339,HEXAWARE,INE093A01033,Hexaware Technologies Limited,Main Board,2020-11-09,Voluntary Delisting ,NSE official delisted companies register
NSEDL0340,ADHUNIK,INE400H01019,Adhunik Metaliks Limited,Main Board,2020-11-17,Voluntary Delisting ,NSE official delisted companies register
NSEDL0341,UVSL,INE292A01023,Uttam Value Steels Limited,Main Board,2020-12-01,Voluntary Delisting ,NSE official delisted companies register
NSEDL0342,LAKSHVILAS,INE694C01018,Lakshmi Vilas Bank Limited,Main Board,2020-12-18,"Pursuant to gazette notification dated November 25, 2020 issued by Department of Financial Services, Ministry of Finance.",NSE official delisted companies register
NSEDL0343,GARDENSILK,INE526A01016,Garden Silk Mills Limited,Main Board,2021-02-08,Voluntary Delisting ,NSE official delisted companies register
NSEDL0344,BILPOWER,INE952D01018,Bilpower Limited,Main Board,2021-02-24,Compulsory Delisting ,NSE official delisted companies register
NSEDL0345,BSLIMITED,INE043K01029,BS Limited,Main Board,2021-02-24,Delisting - Liquidation,NSE official delisted companies register
NSEDL0346,KHAITANELE,INE761A01019,Khaitan Electricals Limited,Main Board,2021-02-24,Delisting - Liquidation,NSE official delisted companies register
NSEDL0347,NAGAROIL,INE453M01018,Nagarjuna Oil Refinery Limited,Main Board,2021-02-24,Delisting - Liquidation,NSE official delisted companies register
NSEDL0348,NARMADASUG,INE209601017,Girdharilal Sugar and Allied Industries Ltd,Main Board,2021-02-24,Compulsory Delisting ,NSE official delisted companies register
NSEDL0349,POCHIRAJU,INE332G01032,Pochiraju Industries Limited,Main Board,2021-02-24,Compulsory Delisting ,NSE official delisted companies register
NSEDL0350,PROVOGE,INE968G01033,Provogue (India) Limited,Main Board,2021-02-24,Delisting - Liquidation,NSE official delisted companies register
NSEDL0351,SGFL,INE883G01018,Shree Ganesh Forgings Limited,Main Board,2021-02-24,Compulsory Delisting ,NSE official delisted companies register
NSEDL0352,SKUMARSYNF,INE772A01016,S. Kumars Nationwide Limited,Main Board,2021-02-24,Delisting - Liquidation,NSE official delisted companies register
NSEDL0353,SUNILHITEC,INE305H01028,Sunil Hitech Engineers Limited,Main Board,2021-02-24,Delisting - Liquidation,NSE official delisted companies register
NSEDL0354,SURANACORP,INE357D01010,Surana Corporation Limited,Main Board,2021-02-24,Delisting - Liquidation,NSE official delisted companies register
NSEDL0355,TARAJEWELS,INE799L01016,Tara Jewels Limited,Main Board,2021-02-24,Delisting - Liquidation,NSE official delisted companies register
NSEDL0356,VIJSHAN,INE806F01011,Vijay Shanthi Builders Limited,Main Board,2021-02-24,Compulsory Delisting ,NSE official delisted companies register
NSEDL0357,ZYLOG,INE225I01026,Zylog Systems Limited,Main Board,2021-02-24,Delisting - Liquidation,NSE official delisted companies register
NSEDL0358,BABAFOOD,INE672X01010,Baba Agro Food Limited,SME,2021-03-05,Voluntary Delisting ,NSE official delisted companies register
NSEDL0359,GLOBOFFS,INE446C01013,"Global
Offshore
Services
Limited",Main Board,2021-03-22,Voluntary Delisting ,NSE official delisted companies register
NSEDL0360,GTNIND,INE537A01013,"GTN Industries
Limited",Main Board,2021-03-22,Voluntary Delisting ,NSE official delisted companies register
NSEDL0361,CNOVAPETRO,INE672K01025,CIL Nova Petrochemicals Limited,Main Board,2021-04-13,Voluntary Delisting ,NSE official delisted companies register
NSEDL0362,NOESISIND,INE141B01020,Noesis Industries Limited,Main Board,2021-04-22,Delisting - Liquidation,NSE official delisted companies register
